name,rating,processor,quad,ram,internal,graphic,os,screen,warrenty,price
Lenovo Ideapad Gaming 3 82K201UNIN Laptop (Ryzen 7 5800H/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),74,5th Gen AMD Ryzen 7  5800H,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 3060,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹79,990"
Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),79,6th Gen AMD Ryzen 7 6800H ,"Octa Core, 16 Threads",16 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050 Ti,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹79,999"
Asus Vivobook 16X 2022 M1603QA-MB502WS Laptop (Ryzen 5-5600H/ 8GB/ 512GB SSD/ Win11 Home),65,5th Gen AMD Ryzen 5 5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Vega 7,Windows 11 OS,"16 inches, 1920 x 1200 pixels",1 Year Warranty,"₹48,990"
Apple MacBook Pro 2022 Laptop (Apple M2/ 8GB/ 512GB SSD/ macOS),45,Apple M2 Apple M2 Chip,Octa Core,8 GB  RAM,512 GB SSD,10 Core GPU,Mac OS,"13.3 inches, 2560 x 1600 pixels",1 Year Warranty,"₹1,21,990"
Asus Vivobook S15 OLED K3502ZA-L501WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),64,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Iris XE Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹67,990"
HP 15s-eq2144au Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),60,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹39,800"
HP 14s-fq1092au Laptop (Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),64,5th Gen AMD Ryzen 5  5500U,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,Windows 11 OS,"14 inches, 1920 x 1080 pixels",1 Year Warranty,"₹41,950"
HP 15s-GR0012AU Laptop (AMD Ryzen 3 3250U/ 8GB/ 1TB 256GB SSD/ Win10 Home),61,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",AMD Radeon Vega 6,Windows 10 OS,"₹37,290"
Apple MacBook Air 2020 MGN73HN Laptop (Apple M1/ 8GB/ 512GB SSD/ MacOS),47,Apple M1 Apple M1 Chip,Octa Core (4P + 4E),8 GB DDR4 RAM,512 GB SSD,Apple M1 Integrated Graphics,Mac OS,"13.3 inches, 2560 x 1600 pixels",1 Year Warranty,"₹1,17,900"
Apple MacBook Pro 16 Laptop (9th Gen Core i9/ 32GB/ 2TB SSD/ MacOS/ 4GB Graph),81,9th Gen Intel Core i9,Octa Core,32 GB DDR4 RAM,2 TB SSD,4 GB Radeon Pro 5500M,Mac Catalina OS,"16 inches, 3072 x 1920 pixels",1 Year Warranty,"₹2,01,498"
HP 250 G9 95X38PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ DOS),51,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated,DOS OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹57,500"
Lenovo ThinkBook 14 21DH00C1IH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ DOS),62,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,DOS OS,"14 inches, 1920 x 1080 pixels",1 Year Warranty,"₹65,499"
HP 240 G9 8J0S5PA Laptop (12th Gen Core i5/ 8GB/ 512 GB SSD/ DOS),58,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Iris Xe Graphics,DOS OS,"14 inches, 1366 x 768 pixels",1 Year Warranty,"₹54,599"
Lenovo IdeaPad Slim 1 82R400BGIN Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11 Home),50,5th Gen AMD Ryzen 5 5500U,"Hexa Core, 12 Threads",8 GB  DDR4 RAM,512 GB SSD,AMD Radeon Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹38,099"
Lenovo Yoga Slim 6 14IRH8 83E00012INLaptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),62,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5X RAM,1 TB SSD,Intel Integrated Iris Xe,Windows 11 OS,"14 inches, 1920 x 1200 pixels",1 Year Warranty,"₹79,519"
HP 15s-EQ2084AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),62,5th Gen AMD Ryzen 7  5700U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹51,901"
Lenovo IdeaPad Gaming 3 15IAH7 82S9017TIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),65,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹70,990"
Lenovo Ideapad Slim 5 82XF0078IN Laptop (13th Gen Core i7/ 16 GB RAM/ 1 TB SSD/ Win 11),65,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB LPDDR5 RAM,1 TB SSD,Intel Iris Xe Graphics,Windows 11 OS,"16 inches, 2560 x 1600 pixels",1 Year Warranty,"₹88,990"
Lenovo IdeaPad Slim 5 14IAH8 83BF0043IN Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11),60,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,1 TB SSD,Integrated Intel UHD Graphics,Windows 11 OS,"14 inches, 1920 x 1200 pixels",1 Year Warranty,"₹61,990"
HP 250 G9 95X40PA Laptop (12th Gen Core i7/ 8GB/ 512 GB SSD/ DOS),52,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated,DOS OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹67,288"
MSI CreatorPro X17 HX A13VKS-249IN Laptop (13th Gen Core i9/ 64GB/ 4TB SSD/ Win11 Pro/ 12GB Graph),95,13th Gen Intel Core i9 13980HX,"24 Cores (8P + 16E), 32 Threads",64 GB DDR5 RAM,4 TB SSD,12 GB NVIDIA GeForce RTX 3500 Ada,Windows 11 OS,"17 inches, 2560 x 1600 pixels",3 Year Warranty,"₹4,79,990"
‎HP ZHAN 99 Zbook Power G4-A 2023 Laptop (AMD Ryzen 5 6600H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),69,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",16 GB DDR5 RAM,1 TB SSD,4 GB ‎NVIDIA Quadro T600,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹91,990"
Acer Aspire 3 15 A315-510P UN.KDHSI.019 Laptop (Intel Core i3 N305/ 8GB/ 512GB SSD/ Win11 Home),47,Intel Core i3 N305,"Octa Core, 8 Threads",8 GB LPDDR5 RAM,512 GB SSD,Intel UHD Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹36,490"
Avita Pura S101 Laptop (Celeron N4020/ 8GB/256GB SSD/ Win11 Home),41,Intel Celeron  N4020,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD Graphics,Windows 11 OS,"14 inches, 1920 x 1080 pixels",1 Year Warranty,"₹19,421"
Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 36GB/ 1TB SSD/ macOS),64,Apple M3 Max,14 Cores (10P + 4E),36 GB  RAM,1 TB SSD,30 Core GPU,Mac OS,"16.2 inches, 3456 x 2234 pixels",1 Year Warranty,"₹3,49,900"
Lenovo V15 G4 Laptop (AMD Athlon Silver 7120U/ 8GB/ 512GB SSD/ Win11 Home),47,AMD Athlon Silver 7120U,"Dual Core, 2 Threads",8 GB LPDDR5 RAM,512 GB SSD,AMD Radeon 610M,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹25,990"
Apple MacBook Pro 14 2023 Laptop (Apple M3/ 8GB/ 512GB SSD/ macOS),51,Apple M3,Octa Core (4P + 4E),8 GB  RAM,512 GB SSD,10 Core GPU,Mac OS,"14.2 inches, 3024 x 1964 pixels",1 Year Warranty,"₹1,69,900"
HP Victus 15-fb1002AX Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),70,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹53,490"
HP Pavilion Plus ‎16-ab0456TX Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win 11/ 6GB Graphics),76,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,6 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"16 inches, 2560 x 1600 pixels",1 Year Warranty,"₹1,24,999"
Lenovo IdeaPad Gaming 3 82K101LJIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),70,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce GTX 1650,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹54,990"
Acer Aspire Lite AL15-52 Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),58,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics ,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹32,990"
MSI Pulse 15 B13VGK-1296IN Gaming Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),71,13th Gen Intel Core i7 13700H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,"15.6 inches, 2560 x 1440 pixels",2 Year Warranty,"₹1,48,990"
Lenovo Legion Slim 5 82Y9009JIN Gaming Laptop (AMD Ryzen 7 7840HS/ 16GB/ 1TB SSD/ Win11/ 8GB Graph),83,7th Gen AMD Ryzen 7 7840HS,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,"16 inches, 2560 x 1600 pixels",1 Year Warranty,"₹1,31,990"
Zebronics ZEB-NBC 2S 2023 Laptop (11th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),60,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",8 GB LPDDR4X RAM,512 GB SSD,Intel Integrated UHD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹32,990"
Acer Aspire 5 A515-58GM 15 2023 Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11/ 4GB Graphics),65,13th Gen Intel Core i5 13420H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹64,990"
Zebronics Pro Series Y ZEB-NBC 1S Laptop (11th Gen Core i3 / 8GB/ 512GB SSD/ Win11 Home),56,11th Gen Intel Core i3 1125G4,"Quad Core, 8 Threads",8 GB LPDDR4 RAM,512 GB SSD,Intel Integrated UHD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹29,990"
Lenovo Legion Pro 5 82WM00B7IN Gaming Laptop ( AMD Ryzen 7 7745HX/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),84,7th Gen AMD Ryzen 7 7745HX,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4070,Windows 11 OS,"16 inches, 2560 x 1600 pixels",1 Year Warranty,"₹1,63,990"
HP Pavilion 14-dv2153TU Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win 11),67,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Integrated Iris Xe,Windows 11 OS,"14 inches, 1920 x 1080 pixels",1 Year Warranty,"₹68,710"
Lenovo IdeaPad Flex 5 14IRU8 82Y0004TIN Laptop (13th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),65,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR4X RAM,512 GB SSD,Intel Integrated Iris Xe,Windows 11 OS,"14 inches, 1920 x 1200 pixels, Touch Screen",1 Year Warranty,"₹87,990"
Lenovo IdeaPad 3 15IAU7 82RK00XDIN Laptop (12th Gen Core i3/ 8GB/ 256GB SSD/ Win11 Home),57,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,256 GB SSD,Intel UHD Graphics ,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹32,990"
Asus ROG Strix G15 G513RC-HN251WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),71,6th Gen AMD Ryzen 7  6800H,"Octa Core, 16 Threads",16 GB DDR5 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹87,990"
Asus Vivobook S14 Flip TN3402QA-LZ551WS Laptop (AMD Ryzen 5 5600H/ 16GB/ 1TB SSD/Win11),58,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB SSD,AMD Radeon Graphics,Windows 11 OS,"14 inches, 1920 x 1200 pixels, Touch Screen",1 Year Warranty,"₹66,450"
Lenovo IdeaPad Gaming 3 82SB00V4IN Laptop (AMD Ryzen 5 6600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),60,6th Gen AMD Ryzen 5 6600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹64,590"
Dell Inspiron 15 3520 IN352092K4N001ORS1 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),57,12th Gen Intel Core i5 1235U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹57,990"
Lenovo Thinkpad E15 G4 21DJA0Y0IN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home),64,12th Gen Intel Core i7 1255U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris Xe,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹59,990"
Asus ROG Strix G17 G713RC-HX109WS Gaming Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),71,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16 GB DDR5  RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"17.3 inches, 1920 x 1080 pixels",1 Year Warranty,"₹86,990"
Infinix INBook X2 Slim Series XL23 2023 Laptop (11th Gen Core i5/ 16GB/ 1TB SSD/ Win 11 Home),60,11th Gen Intel Core i5 1155G7,"Quad Core, 8 Threads",16 GB LPDDR4X RAM,1 TB SSD,Intel Integrated Iris Xe,Windows 11 OS,"14 inches, 1920 x 1080 pixels",1 Year Warranty,"₹38,990"
Chuwi FreeBook Laptop (12th Gen Core i3/ 12GB/ 512GB SSD/ Win11),50,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",12 GB LPDDR4 RAM,512 GB SSD,Intel Integrated Intel UHD Graphics,Windows 11 OS,"13.5 inches, 2256 x 1504 pixels, Touch Screen",1 Year Warranty,"₹37,990"
Dell Inspiron 7430 2023 Laptop (13th Gen Core i7/ 16GB/ 1TB SSD/ Win11),62,13th Gen Intel Core i7 1355U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,1 TB SSD,Intel Iris Xe Graphics,Windows 11 OS,"14 inches, 1920 x 1200 pixels, Touch Screen",1 Year Warranty,"₹99,480"
Lenovo IdeaPad Gaming 3 15IHU6 82K101PBIN Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),67,11th Gen Intel Core i5 11320H,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹51,990"
HP Victus 15-fa1062TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),71,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB DDR4 RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹88,800"
Acer Aspire 5 A515-58M NX.KHFSI.003 Gaming Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),50,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB DDR5 RAM,512 GB SSD,Intel UHD Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹35,991"
Acer Swift Go NXKPZSI002 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),64,13th Gen Intel Core i5 13500H,"12 Cores (4P + 8E), 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel Integrated Iris Xe,Windows 11 OS,"14 inches, 2880 x 1800 pixels",1 Year Warranty,"₹72,990"
Asus Vivobook Pro 15 M6500RC-HN741WS Laptop (AMD Ryzen 7 6800H/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),70,6th Gen AMD Ryzen 7 6800H,"Octa Core, 16 Threads",16 GB LPDDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹72,990"
HP Victus 15-fb1016AX  Gaming Laptop (AMD Ryzen 5 7535HS/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),67,7th Gen AMD Ryzen 5 7535HS,"Hexa Core, 12 Threads",8 GB DDR5 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹53,990"
Gigabyte G5 MF-F2IN313SH Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),67,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB  RAM,512 GB SSD,6 GB NVIDIA GeForce RTX 4050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",2 Year Warranty,"₹71,990"
Lenovo IdeaPad 1 15IGL7 82V700BSIN Laptop (Celeron N4020/ 8GB/ 256GB SSD/ Win11 Home),50,4th Gen Intel Celeron N4020,"Dual Core, 2 Threads",8 GB DDR4 RAM,256 GB SSD,Intel Integrated UHD,Windows 10 OS,"15.6 inches, 1366 x 768 pixels",1 Year Warranty,"₹25,990"
Asus Vivobook 16 2023 X1605ZAB-MB322WS Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),57,12th Gen Intel Core i3 1215U,"Hexa Core (2P + 4E), 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated UHD,Windows 11 OS,"16 inches, 1920 x 1200 pixels",1 Year Warranty,"₹40,739"
Gigabyte G5 KF-E3IN313SH Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 8GB Graph),73,12th Gen Intel Core i5 12500H,"12 Cores (4P + 8E), 16 Threads",8 GB DDR5 RAM,512 GB SSD,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",2 Year Warranty,"₹89,990"
Lenovo IdeaPad Slim 5 16IAH8 83BG000PIN Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),63,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB LPDDR5 RAM,512 GB SSD,Intel UHD Graphics,Windows 11 OS,"16 inches, 1920 x 1200 pixels",1 Year Warranty,"₹61,990"
Asus Vivobook 14X OLED 2023 K3405VCB-KM951WS Laptop (13th Gen Core i9/ 16GB/ 1TB SSD/ Win11/4 GB Graphics),77,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",16 GB DDR4 RAM,1 TB SSD,4 GB NVIDIA Geforce RTX 3050,Windows 11 OS,"14 inches, 2880 x 1800 pixels",1 Year Warranty,"₹1,09,990"
Asus Vivobook 16X K3605ZC-MBN541WS Laptop (12th Gen Core i5/ 16 GB RAM/ 512 GB SSD/ Win 11/ 4 GB Graphics),66,12th Gen Intel Core i5 12450H,"Octa Core (4P + 4E), 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"16 inches, 1920 x 1200 pixels",1 Year Warranty,"₹66,990"
HP Victus 15-fa0187TX Gaming Laptop (12th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),76,12th Gen Intel Core i7 12650H,"10 Cores (6P + 4E), 16 Threads",16 GB DDR4 RAM,1 TB SSD,4 GB NVIDIA GeForce RTX 3050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹91,590"
HP Victus15-fb0147AX Gaming Laptop (Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),62,5th Gen AMD Ryzen 5  5600H,"Hexa Core, 12 Threads",8 GB DDR4 RAM,512 GB SSD,4 GB AMD Radeon AMD Radeon RX 6500M,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹49,990"
Lenovo IdeaPad 3 82KU024JIN Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),64,5th Gen AMD Ryzen 7 5700U,"Octa Core, 16 Threads",16 GB DDR4 RAM,512 GB SSD,AMD Radeon AMD,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹45,900"
HP 15S-EQ1550AU Laptop (AMD Ryzen 3 3250U/ 8 GB RAM/ 512 GB SSD/ Win 11),51,3rd Gen AMD Ryzen 3  3250U,"Dual Core, 4 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹31,990"
Wings Nuvobook Pro Laptop (11th Gen Core i7/ 16GB/ 512GB SSD/ Win11),58,11th Gen Intel Core i7 1165G7,"Quad Core, 8 Threads",16 GB LPDDR4 RAM,512 GB SSD,Intel Graphics,Windows 11 OS,"14 inches, 1080 x 1920 pixels",1 Year Warranty,"₹49,990"
MSI Stealth 16 Mercedes AMG A13VF-265IN Gaming Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win11/ 8GB Graph),96,13th Gen Intel Core i9 13900H,"14 Cores (6P + 8E), 20 Threads",32 GB DDR5 RAM,1 TB SSD,8 GB NVIDIA GeForce RTX 4060,Windows 11 OS,"16 inches, 3840 x 2400 pixels",2 Year Warranty,"₹2,19,990"
Ultimus Elite NU14U3INF56BN-CS Laptop (10th Gen Core i5 / 8GB/ 512GB SSD/ Win11 Home),54,10th Gen Intel Core i5 1035G4,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,Intel Integrated Iris,Windows 11 OS,"14.1 inches, 1920 x 1080 pixels",1 Year Warranty,"₹24,999"
MSI Thin GF63 11UCX-1492IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),73,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 2050 ,Windows 11 OS,"₹53,990"
Dell Inspiron 3525 Laptop (AMD Ryzen R3 5300U/ 8GB/ 512GB SSD/ Win11),58,5th Gen AMD Ryzen 3 5300U,"Quad Core, 8 Threads",8 GB DDR4 RAM,512 GB SSD,AMD Radeon Radeon Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹31,990"
Dell Vostro 3430 Laptop (13th Gen Core i3/ 8GB/ 512GB SSD/ Win11),57,13th Gen Intel Core i3 1305U,"5 Cores (1P + 4E), 6 Threads",8 GB DDR4 RAM,512 GB SSD,Intel UHD Graphics,Windows 11 OS,"14 inches, 1920 x 1080 pixels",1 Year Warranty,"₹42,490"
Dell Inspiron 7430 2 in 1 Touch Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11),60,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB LPDDR5 RAM,1 TB SSD,Intel Iris Xe Graphics,Windows 11 OS,"14 inches, 1920 x 1200 pixels, Touch Screen",1 Year Warranty,"₹81,990"
HP Pavilion 15-eg3017TU Laptop (13th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home),63,13th Gen Intel Core i5 1335U,"10 Cores (2P + 8E), 12 Threads",16 GB DDR4 RAM,1 TB SSD,Intel Integrated Intel Iris Xe Graphics,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",1 Year Warranty,"₹73,490"
MSI Thin GF63 11UCX-1496IN Gaming Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graph),71,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,512 GB SSD,4 GB NVIDIA GeForce RTX 2050,Windows 11 OS,"15.6 inches, 1920 x 1080 pixels",2 Year Warranty,"₹50,990"
MSI Thin GF63 11UC-1490IN Gaming Laptop (11th Gen Core i5/ 16GB/ 1TB 256GB SSD/ Win11 Home/ 4GB Graph),73,11th Gen Intel Core i5 11260H,"Hexa Core, 12 Threads",16 GB DDR4 RAM,1 TB Hard Disk,256 GB SSD,"15.6 inches, 1920 x 1080 pixels",4 GB NVIDIA GeForce RTX 3050 ,Windows 11 OS,"₹57,990"
