hotel_name,rating_and_delivery_time,food_type,location,offer
Bikaji Food Junxon,4.6 • 46 mins,"Sweets, Snacks",Malad West, ₹100 OFF ABOVE ₹999
Rajubhai Dhoklawala,4.5 • 40 mins,"Sweets, Desserts, Gujarati, Snacks",Borivali, 
Deepak (Borivali),4.5 • 38 mins,"Indian, Chinese, South Indian, Snacks",Borivali West, 
Godwa,4.4 • 39 mins,"American, Beverages, Thalis",Malad Borivali Area, 10% OFF ABOVE ₹600
Radha Krishna (Borivali),4.4 • 39 mins,"Indian, Chinese, South Indian, Mexican, Italian",Borivali West, 
Tulsi Vihar,4.2 • 42 mins,"North Indian, Chinese, South Indian, Beverages",Kandivali West, ₹100 OFF ABOVE ₹999
Smokin Curries,4.2 • 54 mins,"Biryani, Indian, North Indian, Tandoor, Kebabs, Fast Food, Desserts, Beverages",Malad Kan West, 
The Food Studio Kitchen & Bar,4.4 • 56 mins,"North Indian, Continental, Asian, Punjabi, Chinese, Italian, Mughlai",Malad West, 
Bhavesh Chinese,4.2 • 43 mins,"Chinese, Indian",Borivali West, 
Spukies - The Veg Sigree,4.3 • 46 mins,"North Indian, Jain, Chinese, South Indian",Mumbai, 
Agri Malhari Katta,4.3 • 50 mins,"Indian, Chinese",Borivali, 
Zaika Fun Dining | Club Aquaria,4.3 • 44 mins,"North Indian, Chinese, Biryani, Continental",Borivali West, ₹175 OFF ABOVE ₹449
Pishu's - Drink Your Fruit,4.4 • 55 mins,"Juices, Beverages, Healthy Food",Malad West, ₹150 OFF ABOVE ₹399
Madhuram Sweets & Chaat,4.6 • 46 mins,Desserts,Dahisar, ₹100 OFF ABOVE ₹999
Cosway,4.1 • 51 mins,"Chinese, North Indian, Indian",PG Road, ₹175 OFF ABOVE ₹449
Kansar Pure Veg Thali,4.1 • 44 mins,Thalis,Chikoowadi, 15% OFF ABOVE ₹800
Jain SubKuchh Food Plaza,4.3 • 52 mins,"Street Food, North Indian, Chinese, Desserts, South Indian",Malad West, ₹175 OFF ABOVE ₹449
Pangat (Gorai),4.4 • 40 mins,"Indian, Chinese, Malwani, Seafood, Kebabs, Biryani, Maharashtrian",Borivali West, 
Shenoy's,4.1 • 48 mins,"Fast Food, Snacks, Chinese, Chaat",Jog Gor East, 
Surmai Restaurant,4.3 • 47 mins,"Seafood, Indian, Chinese",Malad West, ₹175 OFF ABOVE ₹449
Qutuz Irani Cafe,4.3 • 51 mins,Fast Food,Chincholi Bunder Road, 
Anda Apna Apna,4.5 • 52 mins,Fast Food,Malad West, ₹175 OFF ABOVE ₹449
Shreeji Pure Veg,4.5 • 49 mins,"Indian, South Indian, Chinese, Desserts, Beverages",Jog Gor East, 
Sai Veg World,4.3 • 50 mins,"Indian, Chinese",Goregaon East, ₹175 OFF ABOVE ₹449
Baba Falooda,4.5 • 40 mins,Desserts,Mira Road, 
Persia Darbar,4.3 • 44 mins,"North Indian, Biryani, Chinese, Arabian, Mughlai",Goregaon East, ₹175 OFF ABOVE ₹799
CakeZone,4.2 • 37 mins,"Bakery, Desserts, Sweets, Ice Cream",L T Road Junction, ₹125 OFF ABOVE ₹399
Bikkgane Biryani,4.1 • 54 mins,"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs",Malad Kan West, ₹175 OFF ABOVE ₹449
Chai Point,4.3 • 52 mins,"Bakery, Beverages, Maharashtrian, Snacks, Street Food, South Indian, Punjabi, Chaat, Indian, American, North Indian, Fast Food, Desserts, Cafe, Healthy Food, Home Food",Malad West, 25% OFF UPTO ₹125
Biryani By Kilo,4.1 • 70 mins,"Biryani, Hyderabadi, North Indian, Kebabs, Mughlai, Desserts",Malad West, ₹175 OFF ABOVE ₹1999
Curry Mantra,4.3 • 39 mins,"Indian, Chinese, Tandoor, Biryani, Mangalorean, Malwani, Kerala, Goan, Chettinad, Mughlai, Seafood",Dahisar, 
Oye Teri - The Kulcha Kulture,4.2 • 39 mins,Indian,Borivali, 
Noorani Restaurant,4.1 • 39 mins,"Chinese, North Indian",Malad East, ₹125 OFF ABOVE ₹599
Cheesecake & Co.,4.2 • 40 mins,"Bakery, Desserts",Jog Gor East, ₹150 OFF ABOVE ₹399
Smoor,4.3 • 39 mins,"Desserts, Bakery, Beverages",I C Colony, ₹175 OFF ABOVE ₹899
HRX by EatFit,4.4 • 38 mins,"Healthy Food, Salads, Keto",Gorai Road, ITEMS AT ₹199
Shahi Darbar,41 mins,"Beverages, Desserts, Ice Cream",Malad Kan West, 
Gomantak,4.2 • 53 mins,"Indian, Seafood, Tandoor, Malwani, Chinese",Dahisar, 25% OFF UPTO ₹125
Cafe Heaven,4.1 • 44 mins,"Mughlai, Chinese, Tandoor, Indian",Malad West, ₹100 OFF ABOVE ₹599
Landmark Restaurant Veg Diet,4.1 • 50 mins,"North Indian, Chinese, Continental, Beverages",Malad Kan West, 
Supermani,4.5 • 47 mins,"South Indian, Biryani, Fast Food, Snacks",Borivali, 
Aahar-E-Kolkata,4.2 • 55 mins,"Bengali, Thalis, Biryani, Desserts",Malad Kan East, 
Suraj Lama Momos,4.6 • 55 mins,Chinese,Jog Gor East, 
Charcoal Bistro,3.5 • 44 mins,"Indian, Chinese",Jog Gor East, 
The Tiny Tub,4 • 44 mins,"Desserts, Bakery, Sweets, Snacks, Cafe",Malad Kan West, ₹100 OFF ABOVE ₹749
"DIMSUM WU (Chinese, Momo, Shushi & more) ",4.2 • 51 mins,"Pan-Asian, Indonesian, Thai, Chinese, Desserts",Borivali, ₹175 OFF ABOVE ₹449
Kolkata Heshel,4.5 • 64 mins,Bengali,Malad West, 10% OFF ABOVE ₹800
Social,4.3 • 58 mins,"North Indian, Chinese, Fast Food, Biryani, Pizzas, Salads, Kebabs, Juices, Desserts, Beverages",Goregaon East, 60% OFF UPTO ₹120
Ohhdaily - Healthy & Homely Tiffins,4.3 • 42 mins,"Thalis, Indian, Home Food, Chinese",Malad West, ₹175 OFF ABOVE ₹399
Harvest Salad Co,4.3 • 44 mins,"Salads, Healthy Food, Snacks",Road Ramachandra Lbe, 40% OFF UPTO ₹80
Maiz Mexican Kitchen,4.4 • 44 mins,"Mexican, Indian, Salads",Road Ramachandra Lbe, 40% OFF UPTO ₹80
Veg Sutra,4.2 • 48 mins,"North Indian, Chinese",Goregaon, ₹100 OFF ABOVE ₹399
Balaji Snacks,3.3 • 39 mins,"Snacks, Chaat, South Indian",Malad East, 
Shree Krishna,4.3 • 45 mins,"Indian, Chinese, North Indian, Tandoor, Seafood, Biryani",Kandivali West, ₹250 OFF ABOVE ₹999
Speak Burgers by Vicky Ratnani,4 • 47 mins,"Burgers, American, Beverages",Malad Kan West, ₹175 OFF ABOVE ₹449
Spicy Bowl,3.5 • 65 mins,"Chinese, Biryani, North Indian, Tandoor, Beverages",Goregaon, 
Fire Bowl,4.3 • 55 mins,"Chinese, Italian, Mexican, Thai",Malad West, 
Falafel's,4 • 42 mins,"Lebanese, Mediterranean, Arabian, Middle Eastern, Rolls & Wraps, Jain",Goregaon East, ₹175 OFF ABOVE ₹449
The Pancake Story,4.4 • 55 mins,"Desserts, Beverages",Malad West, ₹100 OFF ABOVE ₹599
Baithack Taste of Kulhad,3.8 • 46 mins,"Beverages, Fast Food, Snacks",Borivali, 
Curry Culture,4.4 • 54 mins,"Biryani, North Indian, Kebabs, Malwani, Chinese, Seafood, Asian, Thai, Mughlai, Indian, Desserts, Tandoor",Malad West, 
Foodaholic,53 mins,Chinese,Jog Gor East, ₹150 OFF ABOVE ₹999
The Bar Stock Exchange,4 • 57 mins,"North Indian, Biryani, Chinese, Asian, Kebabs, Italian",Malad West, 
Punjabi Grill,4.1 • 42 mins,"Punjabi, Combo, Tandoor, Snacks, Chinese, Biryani",Kandivali East, 15% OFF ABOVE ₹700
Bandra Cakery by Bunty Mahajan,4.4 • 50 mins,"Bakery, Desserts",Kandivali West, 30% OFF UPTO ₹75
Krishna Lunch Home,4.2 • 44 mins,"North Indian, Indian, Tandoor, Seafood",Borivali, 
Fried Nation,4.4 • 49 mins,"Fast Food, American",Malad West, 
Cake Works,46 mins,Indian,Malad Kan East, 30% OFF UPTO ₹150
Meraki,4.2 • 49 mins,Chinese,Malad West, ₹175 OFF ABOVE ₹449
Dale's Eden Cake Shop,4.4 • 38 mins,"Desserts, Bakery, Sweets",Malad West, ₹175 OFF ABOVE ₹449
Banana Leaf,4.4 • 39 mins,"South Indian, Snacks, Andhra",Borivali West, ₹100 OFF ABOVE ₹599
"House of Biryan- Biryani, Kepsa and More",4.4 • 40 mins,"Biryani, Kebabs, Rolls",Malad West, ₹175 OFF ABOVE ₹599
Brijwasi Sweets Original Since 1946,4.4 • 50 mins,"Sweets, Snacks, Chaat, Beverages, Indian",Malad Kan West, 15% OFF ABOVE ₹800
Deliciae by Bunty Mahajan,4.6 • 48 mins,Desserts,Kandivali West, ₹175 OFF ABOVE ₹1199
Sahara Restaurant,3.8 • 43 mins,"North Indian, Chinese, Tandoor, Biryani",Malad East, ₹175 OFF ABOVE ₹449
Copper Chimney,4.2 • 80 mins,"North Indian, Indian, Punjabi, Biryani, Tandoor, Kebabs, Mughlai, Desserts",Malad West, 15% OFF ABOVE ₹1200
Jimis Burger,4.6 • 47 mins,American,Jog Gor East, 
Sadak Chaap,4.4 • 48 mins,"Tandoor, Indian, Snacks",Malad West, ₹100 OFF ABOVE ₹749
Jamai Shoshthi,4.2 • 59 mins,"Bengali, Biryani, Mughlai",Goregaon, 
Carter's Blue,4.4 • 49 mins,"Indian, Chinese, Lebanese",Malad West, 
Hotel Ram Krishna,4.5 • 41 mins,Indian,Dahisar East, 
Delicacy,4.4 • 40 mins,Indian,Kandivali West, 
5 Spice,4.2 • 40 mins,"Chinese, Asian, Thai, Seafood",Borivali West, ₹150 OFF ABOVE ₹499
BOMBAY JUICE,3.9 • 41 mins,"Juices, Beverages, Salads"," Ratna bhai chawk saibaba Nagar, borivali west", 20% OFF ABOVE ₹700
Bombay Sweet Shop,4.7 • 41 mins,"Desserts, Sweets, Bakery, Snacks, Indian",Malad Kan West, ₹175 OFF ABOVE ₹1199
Balaji Pure Veg,4.2 • 44 mins,"Chinese, South Indian",Malad Kan West, 10% OFF ABOVE ₹1000
Fuel Up,4.5 • 55 mins,"Healthy Food, Salads, Juices, Grill, American, Continental",Malad West, ₹150 OFF ABOVE ₹399
Meal Bowl,4.3 • 45 mins,"Indian, Chinese",Goregaon West, ₹100 OFF ABOVE ₹499
The French Connection,4.6 • 15 mins,"Bakery, Snacks, Italian",Malad Kan East, 30% OFF UPTO ₹75
Madrasi Kaapi House,4.4 • 26 mins,"South Indian, Combo, Beverages",Evershine Millenium Paradise, 20% OFF UPTO ₹50
Singarawala,4.6 • 53 mins,"Bengali, Mughlai, Biryani, Thalis",Malad Kan East, 
Shivam Sundaram,4.4 • 28 mins,"North Indian, Chinese, South Indian",Express Highway, 20% OFF UPTO ₹50
DBW - De Burger World,4.5 • 26 mins,"Burgers, Snacks, Beverages",Thakur Village, 
The Biryani Story,4 • 54 mins,"Biryani, Kebabs, Tandoor, Beverages",Malad Kan West, 
Andhra Kodi Pulao,4.4 • 73 mins,"Hyderabadi, South Indian, North Indian, Andhra, Kebabs, Mughlai",Malad Kan West, ₹175 OFF ABOVE ₹449
Maharaja Bhog,4.4 • 51 mins,"Gujarati, Rajasthani, Thalis",Goregaon East, 10% OFF ABOVE ₹800
Pizza Caprina,4.1 • 55 mins,"Pizzas, Italian-American, Desserts",Goregaon West, ₹125 OFF ABOVE ₹599
Satkar Restaurant,3.9 • 53 mins,"Indian, Chinese, Tandoor",Dahisar West, 
Upwas Uphargruha,3.4 • 40 mins,Indian,Rawal Pada, 
Eva's Pizza,4.1 • 52 mins,"Pizzas, Italian, Salads",Malad West, ₹175 OFF ABOVE ₹449
Biryani Culture,3.9 • 51 mins,"Asian, Biryani, Chinese, Desserts, Indian, Mughlai, North Indian, Seafood, Tandoor, Thai, Kebabs",Malad Kan West, 
Zaffran,4.4 • 67 mins,"North Indian, Biryani, Indian, Kebabs, Rolls & Wraps",Andheri Link Road , ₹175 OFF ABOVE ₹799
Home Plate by EatFit,4 • 39 mins,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani, Maharashtrian, Snacks, Desserts, Beverages",Gorai Road, ITEMS AT ₹159
The Dessert Heaven - Pure Veg,4.3 • 39 mins,"Bakery, Desserts, Sweets, Ice Cream",L T Road Junction, ₹125 OFF ABOVE ₹299
Darbhanga Xpress - The Taste of Mithila,3.3 • 35 mins,"Indian, Seafood",Kandivali East, 50% OFF UPTO ₹100
Marrakesh,4 • 42 mins,"Lebanese, North Indian, Kebabs, Desserts, Beverages",Kandivali, 
Bowl Soul,4.1 • 47 mins,"Indian, Asian, Continental, Pan-Asian, Chinese, Mediterranean, Mexican, Lebanese, North Indian, Korean, Japanese, South Indian",Goregaon, EVERY ITEM @ ₹129
Olio - The Wood Fired Pizzeria,4.2 • 61 mins,"Pizzas, Pastas, Fast Food, Snacks, Beverages",Malad West, ₹125 OFF ABOVE ₹249
Barista Coffee,4.2 • 44 mins,"Beverages, Snacks, Desserts",Malad West, ₹125 OFF ABOVE ₹449
Kailash Parbat,4.1 • 46 mins,North Indian,Goregaon East, 
Chaat Street - Desi Chaat & Chai,3.8 • 44 mins,"Snacks, Chaat, Street Food, North Indian, Fast Food",Gorai Road, ₹125 OFF ABOVE ₹349
Suruchi Veg Restaurant,4.5 • 32 mins,"North Indian, Chinese, South Indian, Fast Food, Beverages, Biryani",Malad Kan East, 10% OFF ABOVE ₹800
Oye Paratha House,4.1 • 35 mins,Indian,Malad Kan East, 50% OFF UPTO ₹100
Mishra Pan Bhandar,4.7 • 27 mins,"Paan, Sweets, Mughlai",Malad Kan East, 10% OFF UPTO ₹40
Ebony Casual Diner,4.2 • 24 mins,"North Indian, Chinese, Biryani, Tandoor, Seafood",Kandivali East, 30% OFF UPTO ₹75
Golden Dragon Chinese Point,4.4 • 25 mins,Chinese,90 FT Road, 60% OFF UPTO ₹120
Surbhi Pure Veg (Thakur Village),4.1 • 30 mins,"Indian, Biryani, Chinese, Snacks, Beverages",Kandivali East, ₹175 OFF ABOVE ₹449
Cafe Cocobroma,4.3 • 21 mins,"Cafe, Desserts, Waffle, Beverages, Bakery, Sweets",Kandivali East, 20% OFF UPTO ₹50
Surbhi,4.3 • 29 mins,"Indian, Biryani, Chinese, South Indian, Snacks, Desserts, Beverages",Kandivali East, 40% OFF UPTO ₹80
Konark Veg Diet,4.4 • 24 mins,"North Indian, Chinese, South Indian, Indian",Kandivali East, 
Mira Veg Restaurant,4.3 • 25 mins,"South Indian, Chinese, North Indian, Fast Food, Indian, Beverages, Street Food",Kandivali East, 10% OFF ABOVE ₹1500
Aavakay The Andhra Kitchen,4 • 32 mins,"Andhra, Biryani, Indian, Desserts, Beverages",Kandivali East, 30% OFF UPTO ₹75
Papacream,4.3 • 38 mins,"Ice Cream, Healthy Food, Desserts",Kandivali West, 60% OFF UPTO ₹120
Bangalore Iyengar's Bakery,3.9 • 51 mins,Bakery,Malad Kan East, 
B Burger - Bigger Burger,4.2 • 45 mins,"Burgers, American, Beverages, Snacks",Malad west, ₹125 OFF ABOVE ₹349
Art Of Dum,4.4 • 59 mins,"Biryani, North Indian, Kebabs, Indian, Awadhi, Hyderabadi, Mughlai, Desserts, Beverages",Malad West, 25% OFF UPTO ₹300
China Box Co,4.1 • 42 mins,"Chinese, Asian, Thai, Seafood",Borivali, ₹150 OFF ABOVE ₹499
Mini Punjab,4.2 • 52 mins,"North Indian, Chinese",Malad West, 15% OFF UPTO ₹80
Dimsum (Momo) Express,4 • 45 mins,"North Indian, Chinese, Tandoor",Borivali, ₹150 OFF ABOVE ₹749
Coco Cafe,4.1 • 66 mins,"Cafe, Burgers, American, Italian, Beverages, Desserts, Pastas, Continental",Goregaon East, ₹175 OFF ABOVE ₹499
Al-Baik.Com,3.7 • 52 mins,"Fast Food, Pizzas, Burgers, Rolls & Wraps, Snacks",Malad Kan West, 
Foodland,4.5 • 53 mins,"Mughlai, North Indian, Chinese, Seafood",Malad West, 
House of Candy,3.7 • 78 mins,Sweets,Malad West, 
Fruit Pop by Eatfit,3.3 • 41 mins,"Beverages, Juices, Healthy Food, Desserts",Gorai Road, 40% OFF UPTO ₹80
Artinci - Indulge Guilt Free!,4.2 • 50 mins,"Ice Cream, Healthy Food, Keto, Desserts, Snacks, Beverages, Bakery, Sweets",Malad West, ₹175 OFF ABOVE ₹449
Taaka Chinese,3 • 46 mins,"Chinese, Oriental, Asian",Goregaon, EVERY ITEM @ ₹129
Tandoori Nights,4.1 • 43 mins,"Mughlai, Chinese",Borivali West, 
Mirch,4.3 • 38 mins,"Mughlai, North Indian, Chinese, South Indian",Borivali East, 20% OFF UPTO ₹50
Banglore Iyengar Bakery,4.3 • 16 mins,"Bakery, Snacks",Malad Kan East, 
The Baker's Dozen,4.5 • 40 mins,"Bakery, Snacks, Desserts",Goregaon, ₹175 OFF ABOVE ₹449
Haka,4.3 • 64 mins,"Chinese, Asian",Malad West, ₹125 OFF ABOVE ₹249
Samosa Singh,3.9 • 44 mins,"North Indian, Indian, Snacks, Street Food",Borivali, ₹150 OFF ABOVE ₹499
Mainland China,4.3 • 60 mins,Chinese,Goregaon East, ₹125 OFF ABOVE ₹249
The Brooklyn Creamery - Healthy Ice Cream,4.2 • 47 mins,"Desserts, Ice Cream, Healthy Food",Goregaon, 15% OFF ABOVE ₹800
Ribbons And Balloons - The Cake Shop,4.5 • 40 mins,"Cakes and Pastries, Bakery, Desserts, Ice Cream",Imperial Heights, 
Mom's Kitchen,3.2 • 56 mins,"North Indian, Indian, Biryani",Malad Kan East, 
Nomad Pizza- Traveller Series,4.3 • 55 mins,"Pizzas, Fast Food, Desserts, Beverages",Malad West, ₹150 OFF ABOVE ₹999
Prasuma Momo Kitchen,4.6 • 48 mins,"Chinese, Asian, Snacks, Tibetan, Street Food, Japanese, Pan-Asian, Beverages",Malad Kan West, ₹100 OFF ABOVE ₹499
The Betel Leaf Co.,4.6 • 45 mins,"Paan, Desserts, Indian",Malad Kan West, 15% OFF ABOVE ₹700
Punjab Grill,3.9 • 70 mins,"North Indian, Kebabs, Biryani, Mughlai",MALAD WEST, ₹125 OFF ABOVE ₹249
Asia Kitchen By Mainland China,4.4 • 60 mins,"Asian, Japanese, Chinese",Goregaon East, ₹125 OFF ABOVE ₹249
Giani,4 • 41 mins,"Ice Cream, Beverages",Borivali, 
PizzaExpress,4.1 • 59 mins,"Pizzas, Italian",Goregaon East, ₹175 OFF ABOVE ₹1299
Crusto's - Cheese Burst Pizza,4.2 • 63 mins,"Pizzas, Pastas, Fast Food, Snacks, Beverages",Malad West, ₹125 OFF ABOVE ₹249
Green Cravings,4.1 • 50 mins,"Healthy Food, Fast Food, Grill",Goregaon, EVERY ITEM @ ₹159
Biryani Badshah,4.1 • 53 mins,"Biryani, Hyderabadi, Andhra, South Indian, North Indian, Mughlai, Kebabs",Malad West, ₹175 OFF ABOVE ₹449
Naadbramha Idli,3.8 • 43 mins,"Chinese, South Indian",Malad Kan West, 
BOSS Burger,4.1 • 49 mins,"Burgers, American, Fast Food, Snacks",Goregaon East, ₹175 OFF ABOVE ₹999
Edesia by Freshmenu,4.1 • 49 mins,"Desserts, Bakery, Fast Food",Goregaon, 
Doner and Gyros,4.5 • 50 mins,"Lebanese, Middle Eastern, Healthy Food, Salads, Snacks, American, Desserts, Beverages, Rolls & Wraps, Fast Food",Mira Road, 
New York Waffles & Dinges,3.7 • 38 mins,"Waffle, Bakery, Desserts, Beverages, Ice Cream",Borivali, ₹175 OFF ABOVE ₹449
Vividham Sweets and Dryfruits,4.7 • 22 mins,"Indian, Snacks",Borivali East, 10% OFF ABOVE ₹1000
Juno's Pizza by EatFit - Baking Fresh Since 1974,4.2 • 40 mins,"Pizzas, Pastas, Jain, Beverages, Desserts, Fast Food",Borivali West, ₹125 OFF ABOVE ₹249
Starboy Pizza & Shakes,4 • 42 mins,"Pizzas, Italian, Desserts, Beverages",Borivali, ₹175 OFF ABOVE ₹449
SLAY Coffee,4.2 • 55 mins,"Cafe, Beverages, Desserts, Snacks, Pastas",Goregaon, ₹100 OFF ABOVE ₹399
The Sugar Free Keto Kafe - Artinci,4.4 • 45 mins,"Ice Cream, Keto, Healthy Food, Sweets, Bakery, Desserts, Snacks",Malad West, ₹175 OFF ABOVE ₹449
Cake Walk,3 • 46 mins,"Indian, Bakery, Waffle, Desserts",Malad Kan West, 
Akkad Bakkad Bombay Boo - AB3,4.5 • 33 mins,"Snacks, Fast Food, Pizzas",Kandivali East, ₹175 OFF ABOVE ₹449
The Wafflemeister,4.4 • 32 mins,"Desserts, Beverages, Sweets, Ice Cream",Kandivali East, 40% OFF UPTO ₹80
Sanjay Pure Veg,4.3 • 29 mins,"Indian, South Indian",Borivali East, 
Su-Veg,4.4 • 39 mins,"North Indian, Chinese, South Indian, Biryani, Snacks, Beverages",Borivali East, 30% OFF UPTO ₹75
"Harsh Thali and Parathas - Mom Makes, Son Sells",4.5 • 39 mins,"North Indian, Thalis, Gujarati, Rajasthani, Jain, Chinese",Kandivali East, 20% OFF UPTO ₹50
Monopoly,4.2 • 37 mins,"Italian, Mexican, Continental, Juices, Pizzas, Snacks, Pastas, Beverages",Borivali West, 
Hotel Sarvoday,3.1 • 34 mins,Chinese,Malad Kan East, 40% OFF UPTO ₹200
Maa Anjani Pav Bhaji Centre,4.4 • 32 mins,Chinese,Borivali West, 
Maharashtra Biryani center,3.9 • 28 mins,Biryani,Kandivali East, 
Jain Dughdalay,4.4 • 22 mins,Sweets,Borivali, 10% OFF ABOVE ₹700
69 Dackers Lane,3.8 • 27 mins,"Bengali, Biryani",Malad Kan East, 50% OFF UPTO ₹100
Madras Talkies,3.6 • 19 mins,"South Indian, Beverages",Malad Kan East, ₹50 OFF ABOVE ₹499
Rama's Sweets & Snacks,4.3 • 12 mins,"Sweets, Snacks",Malad Kan East, 10% OFF UPTO ₹40
Malvan Kinara,4.2 • 43 mins,"Indian, Chinese",Akurli Road, 10% OFF ABOVE ₹1500
Oye Bihari - Real Taste of Bihar,4 • 34 mins,"Indian, Seafood",Kandivali East, 50% OFF UPTO ₹100
DonBuri,3.8 • 45 mins,"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts",Goregaon, EVERY ITEM @ ₹129
Khichdi Express,4.2 • 55 mins,"Indian, North Indian, Home Food, Healthy Food, Snacks, Juices, Beverages",Malad West, 
Keventers Ice Cream,4.1 • 55 mins,"Ice Cream, Desserts",Malad West, ₹125 OFF ABOVE ₹399
ENSO - Sourdough Pizza by Nomad,4.6 • 53 mins,"Pizzas, Fast Food, Desserts, Salads, Beverages",Malad Kan West, ₹175 OFF ABOVE ₹999
Cafe Delhi Heights,4 • 66 mins,"Italian, American, Indian",Malad West, ₹150 OFF ABOVE ₹399
Raja Chinese & Tandoor Corner,3.9 • 36 mins,"Chinese, Barbecue",Kandivali West, ₹100 OFF ABOVE ₹999
Su - Swagat,4.2 • 31 mins,"North Indian, Chinese, Tandoor, Beverages, Ice Cream, South Indian",Borivali, 
Grand Maratha,4.4 • 39 mins,"North Indian, Chinese, Malwani",Borivali East, 
Hotel Shree Ramdev,4.4 • 27 mins,"South Indian, Punjabi, Indian, Tandoor, Biryani, Chinese",Dahisar, 
Dwaraka,4.6 • 32 mins,"South Indian, Indian, Chinese, North Indian, Italian",Borivali West, 
Paratha Zone,4.5 • 28 mins,"North Indian, Snacks, Biryani",BORIVALI, 
THE CAKE POINT,34 mins,Bakery,Borivali, 
Agrawal Sweets,3.8 • 27 mins,"North Indian, Snacks",Borivali East, ₹150 OFF ABOVE ₹599
Kathiyawadi Bhog,4.3 • 39 mins,Indian,Borivali West, 
SHREE RAM SWEETS AND FARSAN,4.6 • 29 mins,"Sweets, Snacks",Borivali, 
Bhaskar's Puranpoli Ghar,4.4 • 38 mins,"Maharashtrian, Gujarati, Mangalorean",Malad Kan West, 
Chaap Theka,4.3 • 38 mins,"Biryani, Jain, Tandoor, North Indian",Borivali, 10% OFF ABOVE ₹700
Biryani Barbeque Chinese (BBC),4.4 • 30 mins,"Biryani, Chinese, North Indian, Punjabi, Kebabs, Afghani",Borivali West, 
Damru Paan Shop,4.7 • 25 mins,Paan,Borivali West, 
Nandu Dosa Dinner,4.3 • 34 mins,South Indian,Borivali, 
Nagpal Choley Bhature,4.2 • 35 mins,"North Indian, Tandoor, Beverages, Desserts",Kandivali West, 10% OFF ABOVE ₹600
The Juice Junction,4.4 • 28 mins,"Juices, Beverages",Mahavir Nagar Kandivali West, ₹200 OFF ABOVE ₹999
Nat Khat Pav Bhaji And Snacks Corner,3.4 • 51 mins,"North Indian, Fast Food, Snacks",Malad Kan East, 60% OFF UPTO ₹120
Mystic Lebanese,4.2 • 45 mins,"Arabian, Mediterranean, Lebanese, Turkish",Malad Kan East, ₹125 OFF ABOVE ₹249
Amritsari Kulcha Junction (Pure Veg),4.1 • 46 mins,"North Indian, Chaat, Punjabi, Beverages",Borivali, ₹100 OFF ABOVE ₹749
South Tiffin House Exclusive,4.2 • 42 mins,"South Indian, Street Food, Beverages, Snacks",Kandivali West, ₹175 OFF ABOVE ₹449
Lata Restaurant,4.4 • 40 mins,"Indian, Chinese, Mughlai, Biryani, North Indian",Kandivali West, 15% OFF UPTO ₹80
Sandeep Pure Veg,4.5 • 42 mins,"South Indian, North Indian, Chinese, Street Food",Railway Station, 
Sannidhi Family Restaurant (Kandivali Station),4.5 • 47 mins,"Mughlai, North Indian, Chinese, South Indian, Indian, Salads, Desserts, Snacks, Beverages",Kandivali West, ₹100 OFF ABOVE ₹749
Pangat (Dahisar East),4.4 • 44 mins,"Konkan, Chinese, Tandoor, Indian",Dahisar, 
Akkad Bakkad Bombay Boom (Mahavir Nagar),4.2 • 44 mins,"Snacks, Italian",Kandivali West, ₹100 OFF ABOVE ₹999
Ganesh Snack & Juice Corner,4.3 • 33 mins,"Fast Food, Chaat",Malad Kan East, 30% OFF UPTO ₹75
Sonu's Chinese Corner,4.2 • 35 mins,"Chinese, North Indian",Borivali East, 
Radha Restaurant,4.5 • 35 mins,"South Indian, Chinese, Snacks, Indian, Beverages, Pizzas",Borivali West, 
Sanjay Icecreams,4.5 • 24 mins,"Ice Cream, Desserts",Malad Kan East, 
Raisins Chocolatier And Patisserie,3.3 • 27 mins,Desserts,Borivali, 15% OFF UPTO ₹100
Fisco Restobar,4.5 • 37 mins,"Indian, Chinese, Italian, Mexican",Kandivali West, ₹175 OFF ABOVE ₹449
Pizza Story,4.6 • 33 mins,"Pizzas, Burgers, Desserts, Chinese, Pastas, Italian",Kandivali East, 50% OFF UPTO ₹100
Taste Of Kolkata,4.2 • 31 mins,"Indian, Chinese, Bengali",Kandivali East, 10% OFF UPTO ₹40
Sizzling Spices,4.4 • 27 mins,"Chinese, Thai, Asian, Indonesian, Seafood, Beverages",Kandivali East, 20% OFF UPTO ₹50
Times Of Paratha,40 mins,"Indian, Snacks",Kandivali East, 50% OFF UPTO ₹100
Malvani Swaad (Sushama's Kitchen),4 • 37 mins,"Malwani, Seafood, Indian, North Indian, Biryani, Salads, Beverages, Thalis",Kandivali East, ₹125 OFF ABOVE ₹249
2 Delicious Poha House,4 • 16 mins,"Indian, Snacks",Malad Kan East, 10% OFF UPTO ₹40
New Kulfi Center,4.6 • 26 mins,Ice Cream,Malad Kan West, 
Swastik Fast Food (Franky),4.2 • 33 mins,Fast Food,Borivali, 
A Taste Of India,4.4 • 40 mins,"Indian, Chinese, Mughlai, North Indian",Kandivali East, 40% OFF UPTO ₹80
Crave Junction,4 • 34 mins,"Italian, Chinese, Pizzas, Beverages",Kandivali West, 
Uk14,4.5 • 26 mins,"Beverages, Ice Cream",Kandivali West, 
